Mobile,Image_Url,Prices,Refurbished,Stores,Delivery,Timestamp,Product_Url
"Samsung Galaxy M40 128GB (Seawater Blue, 6GB RAM)",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcR4CyZ5RZ2E3FIKF9dVp4w_h0OTulBiKYfVK-g0nvwRnIkYjVTidVUp0odFnWUwHwekeKdxX55xrG1I7bpkKE5qkk7FH3jIBX7Ll8j0Gw&usqp=CAE,"₹21,450.00",--,Gadgets Now,Free delivery,2022-12-25 20:00:37.475433,https://www.google.com/aclk?sa=l&ai=DChcSEwjtn4nd_ZT8AhXbfCsKHQspDRAYABABGgJzZg&sig=AOD64_2RpUW-TqCl9_S7L_tL2vCRnmk8yA&ctype=5&q=&ved=0ahUKEwiq0IPd_ZT8AhUk1TgGHS6kA5IQww8I-gw&adurl=
Samsung Galaxy F42 5G Matte Black 128GB 6GB RAM,https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcRVKGxKC6BNaMJp1J1OHoTzlcDQMXKPIw01dBTIhApvTxfQjV9egb4ayO4J_1unDwnIZ1qH3lJAyHwk-vcoiTtB39x6bGh1iEYRfGTBPxs&usqp=CAE,"₹13,599.00",--,vlebazaar,Free delivery,2022-12-25 20:00:37.475433,https://www.google.com/aclk?sa=l&ai=DChcSEwjtn4nd_ZT8AhXbfCsKHQspDRAYABADGgJzZg&sig=AOD64_0RL8EstbC4K5GIRv7FKr9e8I0tEg&ctype=5&q=&ved=0ahUKEwiq0IPd_ZT8AhUk1TgGHS6kA5IQww8I_Qw&adurl=
"Samsung Galaxy S10 Plus 128GB (Prism Black, 8GB RAM) Refurb",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcSfgzOgEjXKfYn1m6yyrBTby82btoSQ7hr4aDWxXNSf2TQ29L54rj_rcmcs_uQkdVNfabe7vLWA7Fvoez_eBs70jnF1o51dl1dWBeBHWxAJMQ_uxfpxunzY&usqp=CAE,"₹19,999.00 ",Refurbished_mobile,Hi laptop.com,Free delivery,2022-12-25 20:00:37.475433,https://www.google.com/aclk?sa=l&ai=DChcSEwjtn4nd_ZT8AhXbfCsKHQspDRAYABAFGgJzZg&sig=AOD64_1hZ7Y1hIS2jEHjwN56zyhSaUksPw&ctype=5&q=&ved=0ahUKEwiq0IPd_ZT8AhUk1TgGHS6kA5IQww8IgQ0&adurl=
"Samsung Galaxy F13 5G | 4GB |128GB |16.62cm (6.6"") Waterfall Blue| FHD+ Display | Exynos 850 Processor | 8GB RAM|6000mAh Battery | Auto Data Switching",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcQYQTgaXmA2_rgRlzWtmpFl1vVqYkxS8hnuco-TQNpmsVQ3QYgSz3EYoi3dVa_q9I-py2Dx9x3dNzW38t6_Qnkn1FHI8zWbY6overLSnklUGOt2_rXKI3HvPg&usqp=CAE,"₹12,999.00",--,Samsung.com,(13),2022-12-25 20:00:37.475433,https://www.google.com/aclk?sa=l&ai=DChcSEwjtn4nd_ZT8AhXbfCsKHQspDRAYABAHGgJzZg&sig=AOD64_18X7XR_JkfZ5xHm3uVzSCAsxpzEQ&ctype=5&q=&ved=0ahUKEwiq0IPd_ZT8AhUk1TgGHS6kA5IQww8IhQ0&adurl=
"Samsung M13 5G 128 GB, 6 GB RAM, Midnight Blue, Mobile Phone",https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSUPxIMFuB9uiuOvaLS3AQIt877O_DLO2l9t-1VYfvAO0ed5wHwqAZejm1Jb8NfU3yNKd7WJ8wl9fUnUepQo9GrW8e_aoFKCiJmZp546cFc4JVtpCUaO-N-&usqp=CAE,"₹13,999.00",--,Reliance Digital,Free delivery,2022-12-25 20:00:37.475433,https://www.google.com/aclk?sa=l&ai=DChcSEwjtn4nd_ZT8AhXbfCsKHQspDRAYABAJGgJzZg&sig=AOD64_24V4PLCKX7qPoFIrHqvxXeeZmpiA&ctype=5&q=&ved=0ahUKEwiq0IPd_ZT8AhUk1TgGHS6kA5IQww8IiQ0&adurl=
"SAMSUNG Galaxy Note 8 (Orchid Grey, 64 GB) (6 GB RAM)",https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQJ0En1mHH76jIDu2h0jWw70O7055QHvWv6oNdehJkcWgqxWR0SghbGAaB2yJsl12rX0hAIzGwab8S34RSGYZXUw1qTjXIwZYy2zQB7d-GlB0r9fomBn_xv&usqp=CAE,"₹15,999.00 ",Refurbished_mobile,Triveni World,Free delivery,2022-12-25 20:00:37.475433,https://www.google.com/aclk?sa=l&ai=DChcSEwjtn4nd_ZT8AhXbfCsKHQspDRAYABALGgJzZg&sig=AOD64_1vr-Zb1wNj2lNYPCUn4KM-T8n08g&ctype=5&q=&ved=0ahUKEwiq0IPd_ZT8AhUk1TgGHS6kA5IQww8IjA0&adurl=
"Samsung Galaxy Z Fold 4 256 GB (Graygreen, 12 GB RAM)",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcS1FhlfZbAKOiqsQtuxdDU7MgUkUGcdOX7RMATu5X_woJcKJnRZR74gFvTz_MQVutwmH1KViV3IXRGmRkhoDVSJfnIulSkXpj5qKFHtJ2o9&usqp=CAE,"₹1,55,999.00",--,Gadgets Now,Free delivery,2022-12-25 20:00:37.475433,https://www.google.com/aclk?sa=l&ai=DChcSEwjtn4nd_ZT8AhXbfCsKHQspDRAYABANGgJzZg&sig=AOD64_2FcmdNFyzVrg_OeVFqnNXKx3HrAg&ctype=5&q=&ved=0ahUKEwiq0IPd_ZT8AhUk1TgGHS6kA5IQww8IkA0&adurl=
"Samsung Galaxy A73 5G (128, 8GB Awesome Gray, New)",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcR546cj0h80VV8y3fahlKDIX8TvXI0JpUX-KkwDVdkC8XYpywM8SkNEID-IkUHDpeQNiuVn6Vl5JjNXlafYcgqMuHbe_34nSmbd76b4ASbLvKRt1FloM_Yj&usqp=CAE,"₹38,874.00",--,Amazon.in,Free delivery,2022-12-25 20:00:37.475433,https://www.google.com/aclk?sa=l&ai=DChcSEwjtn4nd_ZT8AhXbfCsKHQspDRAYABAPGgJzZg&sig=AOD64_2HeXGmmv8Nqhej_xhXVpGiA2YKrA&ctype=5&q=&ved=0ahUKEwiq0IPd_ZT8AhUk1TgGHS6kA5IQww8Ikw0&adurl=
"SAMSUNG Galaxy S20 FE 5G (8GB RAM, 128GB, Cloud Navy)",https://encrypted-tbn0.gstatic.com/shopping?q=tbn:ANd9GcSwtv9BuLcAPI84kHf_kc3OZYEZfEX-sk-ZxsUNrfVN8OO6Z6_TKbPQcxgfRYnlaaGY1Y-zMgWjHaACo4bkFTqj29bLomEdABXepJhCBLxUbXuD81AUH4Yc3g&usqp=CAE,"₹32,990.00",--,Croma,Free delivery,2022-12-25 20:00:37.475433,https://www.google.com/aclk?sa=l&ai=DChcSEwjtn4nd_ZT8AhXbfCsKHQspDRAYABARGgJzZg&sig=AOD64_1shr-vbwKKwSKtNxp8mU94E_FW6A&ctype=5&q=&ved=0ahUKEwiq0IPd_ZT8AhUk1TgGHS6kA5IQww8Ilg0&adurl=
"Samsung Galaxy M33 5G 128 GB (Emerald Brown, 6 GB RAM)",https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcRNVHYiwzVM2U22LFE4RiYnkFGhOehCRKlXm2SePHTNt_L3_g6Hb0goUKM8QwOehCFnPiiKU2EqG4mRTddM-VEWDfyKBOKH-ZuUTJiZUXE&usqp=CAE,"₹17,999.00",--,Gadgets Now,Free delivery,2022-12-25 20:00:37.475433,https://www.google.com/aclk?sa=l&ai=DChcSEwjtn4nd_ZT8AhXbfCsKHQspDRAYABATGgJzZg&sig=AOD64_1Bjz2xts9gn62FPkeAXXJTstpaLQ&ctype=5&q=&ved=0ahUKEwiq0IPd_ZT8AhUk1TgGHS6kA5IQww8ImQ0&adurl=
